,City,Cloud Coverage (%),Humidity (%),Lattitude,Longitude,Temperature (°F),Wind Speed (mph)
499,sao joao da barra,88,100,-21.64,-41.05,74.22,11.99
500,darhan,0,50,49.49,105.92,50.82,8.75
501,port shepstone,92,100,-30.74,30.45,63.24,6.4
502,petropavlovsk-kamchatskiy,90,86,53.05,158.65,41.0,6.71
503,raver,0,46,21.25,76.04,89.16,9.98
504,ashtarak,36,100,40.29,44.36,48.47,0.92
505,cherrapunji,100,100,25.28,91.72,71.16,2.71
506,kulhudhuffushi,92,100,6.62,73.07,77.01,12.66
507,kununurra,0,19,-15.77,128.74,89.6,6.93
508,kurmanayevka,0,62,52.51,52.07,46.41,18.03
509,medea,20,93,36.27,2.77,60.8,4.7
510,surt,0,100,31.21,16.59,63.06,6.62
511,ayan,76,98,40.67,33.6,52.53,2.59
512,gushikawa,20,74,26.35,127.87,83.97,21.92
513,baleshwar,32,82,21.5,86.92,87.36,14.79
514,verkhoyansk,88,36,67.55,133.39,58.47,8.97
515,fort hunt,20,73,38.73,-77.06,76.55,9.17
516,santa barbara,1,62,34.42,-119.7,61.2,10.29
517,uvalde,1,61,29.21,-99.79,82.4,6.93
518,mtwara,68,100,-10.28,40.18,75.48,8.19
519,sabinas,8,35,27.85,-101.13,83.76,7.74
520,mazyr,0,67,52.05,29.27,54.69,10.98
521,rosetta,0,73,31.4,30.42,71.6,9.17
522,kalia,56,78,23.05,89.63,87.81,12.66
523,lao cai,80,92,22.48,103.95,72.42,2.04
524,rawson,44,39,-43.3,-65.11,51.63,11.65
525,yuma,1,26,32.73,-114.62,79.54,13.87
526,ust-tsilma,68,75,65.44,52.15,43.98,4.05
527,dwarka,0,17,28.58,77.04,93.2,5.82
528,hualmay,12,97,-11.1,-77.61,57.66,1.59
529,poya,92,100,-21.35,165.16,74.13,16.24
530,xiaoweizhai,88,100,26.23,107.51,70.08,3.49
531,mehamn,92,85,71.03,27.85,41.1,28.66
532,llanes,92,100,43.42,-4.75,52.08,1.48
533,ambilobe,0,85,-13.19,49.05,66.75,5.73
534,mimongo,88,97,-1.62,11.6,72.15,2.48
